Files already downloaded and verified
EPOCH 0 Acc: cifar10 71.22%
EPOCH 1 Acc: cifar10 74.07%
EPOCH 2 Acc: cifar10 78.75%
EPOCH 3 Acc: cifar10 78.23%
EPOCH 4 Acc: cifar10 78.55%
EPOCH 5 Acc: cifar10 79.60%
EPOCH 6 Acc: cifar10 80.85%
EPOCH 7 Acc: cifar10 79.27%
EPOCH 8 Acc: cifar10 80.73%
EPOCH 9 Acc: cifar10 80.21%
EPOCH 10 Acc: cifar10 80.62%
EPOCH 11 Acc: cifar10 81.04%
EPOCH 12 Acc: cifar10 80.46%
EPOCH 13 Acc: cifar10 81.10%
EPOCH 14 Acc: cifar10 80.14%
EPOCH 15 Acc: cifar10 80.51%
EPOCH 16 Acc: cifar10 79.31%
EPOCH 17 Acc: cifar10 79.87%
EPOCH 18 Acc: cifar10 80.47%
EPOCH 19 Acc: cifar10 80.90%
Files already downloaded and verified
EPOCH 0 Acc: cifar10 69.14%
EPOCH 1 Acc: cifar10 74.87%
EPOCH 2 Acc: cifar10 77.40%
EPOCH 3 Acc: cifar10 80.16%
EPOCH 4 Acc: cifar10 80.21%
EPOCH 5 Acc: cifar10 79.94%
EPOCH 6 Acc: cifar10 81.32%
EPOCH 7 Acc: cifar10 80.30%
EPOCH 8 Acc: cifar10 79.79%
EPOCH 9 Acc: cifar10 80.59%
EPOCH 10 Acc: cifar10 80.38%
EPOCH 11 Acc: cifar10 79.80%
EPOCH 12 Acc: cifar10 78.52%
EPOCH 13 Acc: cifar10 81.13%
EPOCH 14 Acc: cifar10 80.59%
EPOCH 15 Acc: cifar10 80.38%
EPOCH 16 Acc: cifar10 80.05%
EPOCH 17 Acc: cifar10 80.52%
EPOCH 18 Acc: cifar10 79.70%
EPOCH 19 Acc: cifar10 80.60%
Files already downloaded and verified
EPOCH 0 Acc: cifar10 70.48%
EPOCH 1 Acc: cifar10 75.98%
EPOCH 2 Acc: cifar10 79.26%
EPOCH 3 Acc: cifar10 80.29%
EPOCH 4 Acc: cifar10 80.32%
EPOCH 5 Acc: cifar10 80.48%
EPOCH 6 Acc: cifar10 79.92%
EPOCH 7 Acc: cifar10 80.34%
EPOCH 8 Acc: cifar10 79.68%
EPOCH 9 Acc: cifar10 80.91%
EPOCH 10 Acc: cifar10 80.09%
EPOCH 11 Acc: cifar10 81.21%
EPOCH 12 Acc: cifar10 80.27%
EPOCH 13 Acc: cifar10 81.03%
EPOCH 14 Acc: cifar10 79.87%
EPOCH 15 Acc: cifar10 79.44%
EPOCH 16 Acc: cifar10 80.08%
EPOCH 17 Acc: cifar10 80.75%
EPOCH 18 Acc: cifar10 80.12%
EPOCH 19 Acc: cifar10 80.46%
Files already downloaded and verified
EPOCH 0 Acc: cifar10 74.61%
EPOCH 1 Acc: cifar10 76.11%
EPOCH 2 Acc: cifar10 78.67%
EPOCH 3 Acc: cifar10 79.82%
EPOCH 4 Acc: cifar10 80.21%
EPOCH 5 Acc: cifar10 79.70%
EPOCH 6 Acc: cifar10 80.52%
EPOCH 7 Acc: cifar10 79.97%
EPOCH 8 Acc: cifar10 81.18%
EPOCH 9 Acc: cifar10 79.17%
EPOCH 10 Acc: cifar10 79.70%
EPOCH 11 Acc: cifar10 80.42%
EPOCH 12 Acc: cifar10 80.14%
EPOCH 13 Acc: cifar10 80.09%
EPOCH 14 Acc: cifar10 79.27%
EPOCH 15 Acc: cifar10 80.12%
EPOCH 16 Acc: cifar10 79.83%
EPOCH 17 Acc: cifar10 80.62%
EPOCH 18 Acc: cifar10 80.82%
EPOCH 19 Acc: cifar10 80.13%
Files already downloaded and verified
EPOCH 0 Acc: cifar10 72.03%
EPOCH 1 Acc: cifar10 75.76%
EPOCH 2 Acc: cifar10 77.69%
EPOCH 3 Acc: cifar10 79.51%
EPOCH 4 Acc: cifar10 80.15%
EPOCH 5 Acc: cifar10 80.18%
EPOCH 6 Acc: cifar10 79.97%
EPOCH 7 Acc: cifar10 80.28%
EPOCH 8 Acc: cifar10 79.67%
EPOCH 9 Acc: cifar10 79.24%
EPOCH 10 Acc: cifar10 80.26%
EPOCH 11 Acc: cifar10 80.60%
EPOCH 12 Acc: cifar10 79.79%
EPOCH 13 Acc: cifar10 80.60%
EPOCH 14 Acc: cifar10 80.50%
EPOCH 15 Acc: cifar10 79.91%
EPOCH 16 Acc: cifar10 79.88%
EPOCH 17 Acc: cifar10 79.13%
EPOCH 18 Acc: cifar10 79.04%
EPOCH 19 Acc: cifar10 79.92%
