Files already downloaded and verified
EPOCH 0 Acc: cifar10 72.36%
EPOCH 1 Acc: cifar10 76.98%
EPOCH 2 Acc: cifar10 79.40%
EPOCH 3 Acc: cifar10 79.54%
EPOCH 4 Acc: cifar10 80.06%
EPOCH 5 Acc: cifar10 79.91%
EPOCH 6 Acc: cifar10 79.53%
EPOCH 7 Acc: cifar10 80.88%
EPOCH 8 Acc: cifar10 80.44%
EPOCH 9 Acc: cifar10 80.50%
EPOCH 10 Acc: cifar10 79.51%
EPOCH 11 Acc: cifar10 80.03%
EPOCH 12 Acc: cifar10 80.68%
EPOCH 13 Acc: cifar10 79.80%
EPOCH 14 Acc: cifar10 80.39%
EPOCH 15 Acc: cifar10 81.11%
EPOCH 16 Acc: cifar10 81.01%
EPOCH 17 Acc: cifar10 80.36%
EPOCH 18 Acc: cifar10 80.47%
EPOCH 19 Acc: cifar10 81.19%
